Timestamp,Hennings
2012-04-01T00:00:00-07:00 Los_Angeles,128.97956109046933kW
2012-04-02T00:00:00-07:00 Los_Angeles,152.359431028366kW
2012-04-03T00:00:00-07:00 Los_Angeles,153.15898338953656kW
2012-04-04T00:00:00-07:00 Los_Angeles,149.54469108581546kW
2012-04-05T00:00:00-07:00 Los_Angeles,146.08849716186523kW
2012-04-06T00:00:00-07:00 Los_Angeles,125.85428563753763kW
2012-04-07T00:00:00-07:00 Los_Angeles,118.76694520314537kW
2012-04-08T00:00:00-07:00 Los_Angeles,117.38198383649187kW
2012-04-09T00:00:00-07:00 Los_Angeles,123.1687671343485kW
2012-04-10T00:00:00-07:00 Los_Angeles,139.5729951063792kW
2012-04-11T00:00:00-07:00 Los_Angeles,143.8901865482331kW
2012-04-12T00:00:00-07:00 Los_Angeles,144.53221901257828kW
2012-04-13T00:00:00-07:00 Los_Angeles,139.1065452893575kW
2012-04-14T00:00:00-07:00 Los_Angeles,123.6233968734741kW
2012-04-15T00:00:00-07:00 Los_Angeles,121.86432711283366kW
2012-04-16T00:00:00-07:00 Los_Angeles,146.36809563636783kW
2012-04-17T00:00:00-07:00 Los_Angeles,146.3813396294912kW
2012-04-18T00:00:00-07:00 Los_Angeles,149.86538823445642kW
2012-04-19T00:00:00-07:00 Los_Angeles,146.22334122657773kW
2012-04-20T00:00:00-07:00 Los_Angeles,140.76220242182413kW
2012-04-21T00:00:00-07:00 Los_Angeles,128.01380872726443kW
2012-04-22T00:00:00-07:00 Los_Angeles,130.84970386823016kW
2012-04-23T00:00:00-07:00 Los_Angeles,141.67336821556088kW
2012-04-24T00:00:00-07:00 Los_Angeles,138.58756701151526kW
2012-04-25T00:00:00-07:00 Los_Angeles,140.32794801394147kW
2012-04-26T00:00:00-07:00 Los_Angeles,134.89356486002606kW
2012-04-27T00:00:00-07:00 Los_Angeles,133.6848150889079kW
2012-04-28T00:00:00-07:00 Los_Angeles,116.97344422340393kW
2012-04-29T00:00:00-07:00 Los_Angeles,116.31045007705693kW
2012-04-30T00:00:00-07:00 Los_Angeles,137.166082461675kW
2012-05-01T00:00:00-07:00 Los_Angeles,135.2767144838969kW
2012-05-02T00:00:00-07:00 Los_Angeles,138.18123348553974kW
2012-05-03T00:00:00-07:00 Los_Angeles,138.02644387880957kW
2012-05-04T00:00:00-07:00 Los_Angeles,135.02393531799314kW
2012-05-05T00:00:00-07:00 Los_Angeles,117.6833117802938kW
2012-05-06T00:00:00-07:00 Los_Angeles,117.07655628522237kW
2012-05-07T00:00:00-07:00 Los_Angeles,136.9038466612498kW
2012-05-08T00:00:00-07:00 Los_Angeles,131.48084187507632kW
2012-05-09T00:00:00-07:00 Los_Angeles,135.8636123339335kW
2012-05-10T00:00:00-07:00 Los_Angeles,136.8307499090831kW
2012-05-11T00:00:00-07:00 Los_Angeles,134.83272957801816kW
2012-05-12T00:00:00-07:00 Los_Angeles,112.02319900194803kW
2012-05-13T00:00:00-07:00 Los_Angeles,110.53286210695909kW
2012-05-14T00:00:00-07:00 Los_Angeles,131.7894893487294kW
2012-05-15T00:00:00-07:00 Los_Angeles,136.5696631272634kW
2012-05-16T00:00:00-07:00 Los_Angeles,136.5644934972127kW
2012-05-17T00:00:00-07:00 Los_Angeles,137.2365915775299kW
2012-05-18T00:00:00-07:00 Los_Angeles,131.25344284375507kW
2012-05-19T00:00:00-07:00 Los_Angeles,111.7167633374532kW
2012-05-20T00:00:00-07:00 Los_Angeles,110.71966385841371kW
2012-05-21T00:00:00-07:00 Los_Angeles,123.71205814679456kW
2012-05-22T00:00:00-07:00 Los_Angeles,136.9209695657094kW
2012-05-23T00:00:00-07:00 Los_Angeles,138.87550171216333kW
2012-05-24T00:00:00-07:00 Los_Angeles,138.6083455880483kW
2012-05-25T00:00:00-07:00 Los_Angeles,135.2397058010102kW
2012-05-26T00:00:00-07:00 Los_Angeles,114.13474265734354kW
2012-05-27T00:00:00-07:00 Los_Angeles,116.05559420585632kW
2012-05-28T00:00:00-07:00 Los_Angeles,134.07772827148435kW
2012-05-29T00:00:00-07:00 Los_Angeles,123.63060760498043kW
2012-05-30T00:00:00-07:00 Los_Angeles,130.61464850107828kW
2012-05-31T00:00:00-07:00 Los_Angeles,130.86811089515692kW
2012-06-01T00:00:00-07:00 Los_Angeles,130.43114089965823kW
2012-06-02T00:00:00-07:00 Los_Angeles,107.28625345230107kW
2012-06-03T00:00:00-07:00 Los_Angeles,108.36254199345905kW
2012-06-04T00:00:00-07:00 Los_Angeles,136.06158415476477kW
2012-06-05T00:00:00-07:00 Los_Angeles,132.63108388582867kW
2012-06-06T00:00:00-07:00 Los_Angeles,130.4654194513957kW
2012-06-07T00:00:00-07:00 Los_Angeles,133.0721334616343kW
2012-06-08T00:00:00-07:00 Los_Angeles,134.2819310029348kW
2012-06-09T00:00:00-07:00 Los_Angeles,113.3401598930359kW
2012-06-10T00:00:00-07:00 Los_Angeles,112.92292531331381kW
2012-06-11T00:00:00-07:00 Los_Angeles,131.82928435007733kW
2012-06-12T00:00:00-07:00 Los_Angeles,134.3187367916107kW
2012-06-13T00:00:00-07:00 Los_Angeles,132.53099815050763kW
2012-06-14T00:00:00-07:00 Los_Angeles,132.64397287368772kW
2012-06-15T00:00:00-07:00 Los_Angeles,130.74434455235794kW
2012-06-16T00:00:00-07:00 Los_Angeles,112.69183977444969kW
2012-06-17T00:00:00-07:00 Los_Angeles,112.73843908309938kW
2012-06-18T00:00:00-07:00 Los_Angeles,132.42283590634665kW
2012-06-19T00:00:00-07:00 Los_Angeles,130.439782222112kW
2012-06-20T00:00:00-07:00 Los_Angeles,129.31448292732242kW
2012-06-21T00:00:00-07:00 Los_Angeles,128.76201725006104kW
2012-06-22T00:00:00-07:00 Los_Angeles,128.62542668978375kW
2012-06-23T00:00:00-07:00 Los_Angeles,111.58244848251344kW
2012-06-24T00:00:00-07:00 Los_Angeles,110.51549537976584kW
2012-06-25T00:00:00-07:00 Los_Angeles,130.93028418223062kW
2012-06-26T00:00:00-07:00 Los_Angeles,130.5267955462138kW
2012-06-27T00:00:00-07:00 Los_Angeles,129.54955331484476kW
2012-06-28T00:00:00-07:00 Los_Angeles,133.5753644307455kW
2012-06-29T00:00:00-07:00 Los_Angeles,130.69706972440085kW
2012-06-30T00:00:00-07:00 Los_Angeles,107.47547467549641kW
2012-07-01T00:00:00-07:00 Los_Angeles,105.64813605944319kW
2012-07-02T00:00:00-07:00 Los_Angeles,107.08349657058717kW
2012-07-03T00:00:00-07:00 Los_Angeles,130.13271061579385kW
2012-07-04T00:00:00-07:00 Los_Angeles,133.5811405181885kW
2012-07-05T00:00:00-07:00 Los_Angeles,134.7639781634013kW
2012-07-06T00:00:00-07:00 Los_Angeles,136.7877706686656kW
2012-07-07T00:00:00-07:00 Los_Angeles,121.63761870066327kW
2012-07-08T00:00:00-07:00 Los_Angeles,123.42821264266966kW
2012-07-09T00:00:00-07:00 Los_Angeles,140.95215050379437kW
2012-07-10T00:00:00-07:00 Los_Angeles,145.40533638000494kW
2012-07-11T00:00:00-07:00 Los_Angeles,147.44188896814984kW
2012-07-12T00:00:00-07:00 Los_Angeles,144.4932591915131kW
2012-07-13T00:00:00-07:00 Los_Angeles,143.66870554288232kW
2012-07-14T00:00:00-07:00 Los_Angeles,121.74656224250788kW
2012-07-15T00:00:00-07:00 Los_Angeles,117.50486135482788kW
2012-07-16T00:00:00-07:00 Los_Angeles,132.62666471799213kW
2012-07-17T00:00:00-07:00 Los_Angeles,124.0678813457489kW
2012-07-18T00:00:00-07:00 Los_Angeles,126.34095493952435kW
2012-07-19T00:00:00-07:00 Los_Angeles,131.3562500476837kW
2012-07-20T00:00:00-07:00 Los_Angeles,129.69923273722333kW
2012-07-21T00:00:00-07:00 Los_Angeles,110.0235561529795kW
2012-07-22T00:00:00-07:00 Los_Angeles,107.26618957519534kW
2012-07-23T00:00:00-07:00 Los_Angeles,127.10649752616884kW
2012-07-24T00:00:00-07:00 Los_Angeles,122.49407680829363kW
2012-07-25T00:00:00-07:00 Los_Angeles,123.7690211931864kW
2012-07-26T00:00:00-07:00 Los_Angeles,128.38327471415195kW
2012-07-27T00:00:00-07:00 Los_Angeles,121.75620055198674kW
2012-07-28T00:00:00-07:00 Los_Angeles,111.64884519577024kW
2012-07-29T00:00:00-07:00 Los_Angeles,111.69776225090027kW
2012-07-30T00:00:00-07:00 Los_Angeles,127.73852793375652kW
2012-07-31T00:00:00-07:00 Los_Angeles,125.13767178853352kW
2012-08-01T00:00:00-07:00 Los_Angeles,127.00036827723186kW
2012-08-02T00:00:00-07:00 Los_Angeles,130.46808060010278kW
2012-08-03T00:00:00-07:00 Los_Angeles,131.1185499827067kW
2012-08-04T00:00:00-07:00 Los_Angeles,115.71955148379006kW
2012-08-05T00:00:00-07:00 Los_Angeles,117.75557494163509kW
2012-08-06T00:00:00-07:00 Los_Angeles,120.7211229801178kW
2012-08-07T00:00:00-07:00 Los_Angeles,132.04967610041302kW
2012-08-08T00:00:00-07:00 Los_Angeles,127.06489205360413kW
2012-08-09T00:00:00-07:00 Los_Angeles,124.93505207697552kW
2012-08-10T00:00:00-07:00 Los_Angeles,119.86851549148557kW
